uf,name,code,dbpedia,dbpedia_pt,wikidata
AM,Autazes,1300300,http://dbpedia.org/resource/Autazes,http://pt.dbpedia.org/resource/Autazes,http://www.wikidata.org/entity/Q1772695
AM,Barcelos,1300409,"http://dbpedia.org/resource/Barcelos,_Amazonas",http://pt.dbpedia.org/resource/Barcelos_(Amazonas),http://www.wikidata.org/entity/Q807939
AM,Barreirinha,1300508,http://dbpedia.org/resource/Barreirinha,http://pt.dbpedia.org/resource/Barreirinha,http://www.wikidata.org/entity/Q1772565
AM,Benjamin Constant,1300607,"http://dbpedia.org/resource/Benjamin_Constant,_Amazonas",http://pt.dbpedia.org/resource/Benjamin_Constant_(Amazonas),http://www.wikidata.org/entity/Q1767926
AM,Beruri,1300631,http://dbpedia.org/resource/Beruri,http://pt.dbpedia.org/resource/Beruri,http://www.wikidata.org/entity/Q584172
AM,Boa Vista do Ramos,1300680,http://dbpedia.org/resource/Boa_Vista_do_Ramos,http://pt.dbpedia.org/resource/Boa_Vista_do_Ramos,http://www.wikidata.org/entity/Q940548
AM,Boca do Acre,1300706,http://dbpedia.org/resource/Boca_do_Acre,http://pt.dbpedia.org/resource/Boca_do_Acre,http://www.wikidata.org/entity/Q1793334
AM,Borba,1300805,,http://pt.dbpedia.org/resource/Borba_(Amazonas),http://www.wikidata.org/entity/Q2089660
AM,Caapiranga,1300839,http://dbpedia.org/resource/Caapiranga,http://pt.dbpedia.org/resource/Caapiranga,http://www.wikidata.org/entity/Q945469
AM,Canutama,1300904,http://dbpedia.org/resource/Canutama,http://pt.dbpedia.org/resource/Canutama,http://www.wikidata.org/entity/Q1807050
AM,Carauari,1301001,http://dbpedia.org/resource/Carauari,http://pt.dbpedia.org/resource/Carauari,http://www.wikidata.org/entity/Q1794236
AM,Careiro,1301100,http://dbpedia.org/resource/Careiro,http://pt.dbpedia.org/resource/Careiro,http://www.wikidata.org/entity/Q1751325
AM,Careiro da Várzea,1301159,http://dbpedia.org/resource/Careiro_da_Várzea,http://pt.dbpedia.org/resource/Careiro_da_Várzea,http://www.wikidata.org/entity/Q1807045
AM,Coari,1301209,http://dbpedia.org/resource/Coari,http://pt.dbpedia.org/resource/Coari,http://www.wikidata.org/entity/Q645204
AM,Codajás,1301308,http://dbpedia.org/resource/Codajás,http://pt.dbpedia.org/resource/Codajás,http://www.wikidata.org/entity/Q1762074
AM,Eirunepé,1301407,http://dbpedia.org/resource/Eirunepé,http://pt.dbpedia.org/resource/Eirunepé,http://www.wikidata.org/entity/Q1646910
AM,Envira,1301506,http://dbpedia.org/resource/Envira,http://pt.dbpedia.org/resource/Envira,http://www.wikidata.org/entity/Q1750090
AM,Fonte Boa,1301605,"http://dbpedia.org/resource/Fonte_Boa,_Amazonas",http://pt.dbpedia.org/resource/Fonte_Boa_(Amazonas),http://www.wikidata.org/entity/Q1793768
AM,Guajará,1301654,http://dbpedia.org/resource/Guajará,http://pt.dbpedia.org/resource/Guajará_(Amazonas),http://www.wikidata.org/entity/Q1808440
AM,Humaitá,1301704,"http://dbpedia.org/resource/Humaitá,_Amazonas",http://pt.dbpedia.org/resource/Humaitá_(Amazonas),http://www.wikidata.org/entity/Q1025760
AM,Ipixuna,1301803,http://dbpedia.org/resource/Ipixuna,http://pt.dbpedia.org/resource/Ipixuna,http://www.wikidata.org/entity/Q1794374
AM,Iranduba,1301852,http://dbpedia.org/resource/Iranduba,http://pt.dbpedia.org/resource/Iranduba,http://www.wikidata.org/entity/Q1761947
AM,Itacoatiara,1301902,"http://dbpedia.org/resource/Itacoatiara,_Amazonas",http://pt.dbpedia.org/resource/Itacoatiara,http://www.wikidata.org/entity/Q1750426
AM,Itamarati,1301951,http://dbpedia.org/resource/Itamarati,http://pt.dbpedia.org/resource/Itamarati,http://www.wikidata.org/entity/Q1102558
AM,Itapiranga,1302009,"http://dbpedia.org/resource/Itapiranga,_Amazonas",http://pt.dbpedia.org/resource/Itapiranga_(Amazonas),http://www.wikidata.org/entity/Q1808448
AM,Japurá,1302108,http://dbpedia.org/resource/Japurá,http://pt.dbpedia.org/resource/Japurá_(Amazonas),http://www.wikidata.org/entity/Q1757955
AM,Juruá,1302207,"http://dbpedia.org/resource/Juruá,_Amazonas",http://pt.dbpedia.org/resource/Juruá,http://www.wikidata.org/entity/Q1008285
